Day,Date,Start Time,End Time,Artist,Workshop Theme,Room,Level
Thursday,07/08/2025,14:00,14:50,Marten & Anna,UrbanKiz CreativeFun,Room 1,Intermediate
Thursday,07/08/2025,15:00,15:50,Portu & Mada,Play and Flow,Room 1,Intermediate
Thursday,07/08/2025,16:00,16:50,Sanzhar & Assiya,The Art of Fusion,Room 1,Intermediate
Thursday,07/08/2025,19:00,20:00,Ioury & Eden (at Summer Breeze),,Room 1,Intermediate
Friday,08/08/2025,11:00,11:50,Fernando Bum Bum & Michela,Kizomba Da Banda,Room 1,Intermediate
Friday,08/08/2025,12:00,12:50,Nick & Alex,Lyrical Kiz,Room 1,Intermediate
Friday,08/08/2025,13:00,13:50,Lilian & Ivana,UrbanKiz Tricks,Room 1,Advanced
Friday,08/08/2025,14:00,14:50,Dwe & Gaby,Technical Steps,Room 1,Intermediate
Friday,08/08/2025,15:00,15:50,Chamalo & Jalyssa,Konpa,Room 1,Intermediate
Friday,08/08/2025,11:00,11:50,Michael Daimon & Anika,Tarraxo,Room 2,Intermediate
Friday,08/08/2025,12:00,12:50,Bonifacio,Kizomba,Room 2,Intermediate
Friday,08/08/2025,13:00,13:50,Elhadj & Jenna,Semba Show,Room 2,Advanced
Friday,08/08/2025,14:00,14:50,Gwany,Tarraxo,Room 2,Advanced
Friday,08/08/2025,15:00,15:50,Gwany,Tarraxo Supreme,Room 2,Advanced
Friday,08/08/2025,11:00,11:50,Stef & Sarah,Urban Kiz Elegance,Room 3,Intermediate
Friday,08/08/2025,12:00,12:50,Melle & Rosan,Kiz'nafro,Room 3,Advanced
Friday,08/08/2025,13:00,13:50,Sanzhar & Assiya,The Art of Fusion,Room 3,Advanced
Friday,08/08/2025,14:00,14:50,Marten & Anna,UrbanKiz Technical Play,Room 3,Intermediate
Friday,08/08/2025,15:00,15:50,Jesus & Anni,Masterclass,Room 3,Masterclass
Saturday,09/08/2025,12:00,12:50,Chamalo & Angola Terra,Kizomba,Room 1,Open Level
Saturday,09/08/2025,13:00,13:50,Tony Viser & Carla + Tresor & Aurea,Style Variation,Room 1,Open Level
Saturday,09/08/2025,14:00,14:50,Jesus & Anni + Volkan & Xenia,Romantic Comedy,Room 1,Open Level
Saturday,09/08/2025,15:00,15:50,Dwe & Gaby + Michael Daimon & Anika,Cross Steps,Room 1,InteOpen Levelrmediate
Saturday,09/08/2025,12:00,12:50,Nick & Alex + Lydia,Styling is the New Step,Room 2,Open Level
Saturday,09/08/2025,13:00,13:50,Lilian & Ivana + Do Zangado,Afrokiz,Room 2,Open Level
Saturday,09/08/2025,14:00,14:50,Ary & Maura + Bonifacio + Moorea,4 Styles | Kizomba Vibe,Room 2,Open Level
Saturday,09/08/2025,15:00,15:50,Fernando Bum Bum & Michela + Elhadj & Jenna,Semba Da Banda,Room 2,Open Level
Saturday,09/08/2025,12:00,12:50,Stef & Sarah,Turns and Pivots,Room 3,Intermediate
Saturday,09/08/2025,13:00,13:50,DJ Nao,DJ Masterclass,Room 3,Masterclass
Saturday,09/08/2025,14:00,14:50,Gwany,Masterclass,Room 3,Masterclass
Sunday,10/08/2025,11:00,11:50,Moorea,Body Movement,Room 1,Intermediate
Sunday,10/08/2025,12:00,12:50,Jesus & Anni,Elegant Touch,Room 1,Advanced
Sunday,10/08/2025,13:00,13:50,Tony Viser & Carla,Semba Footwork Technique,Room 1,Open Level
Sunday,10/08/2025,14:00,14:50,Chamalo & Jalyssa,Tarraxinha,Room 1,Open Level
Sunday,10/08/2025,15:00,15:50,Tresor & Aurea,Styling in Couple,Room 1,Intermediate
Sunday,10/08/2025,11:00,11:50,Angola Terra,Semba Footwork,Room 2,Intermediate
Sunday,10/08/2025,12:00,12:50,Lydia Laprade,Lady Styling with a Vibe,Room 2,Open Level
Sunday,10/08/2025,13:00,13:50,Volkan & Xenia,UrbanKiz Creativity,Room 2,Intermediate
Sunday,10/08/2025,14:00,14:50,Ary & Maura,Semba,Room 2,Intermediate
Sunday,10/08/2025,15:00,15:50,Do Zangado,Afro,Room 2,Open Level
Sunday,10/08/2025,12:00,12:50,Bonifacio,Masterclass,Room 3,Masterclass
Sunday,10/08/2025,13:00,13:50,Dwe & Gaby,Masterclass,Room 3,Masterclass
Sunday,10/08/2025,14:00,14:50,Ioury & Eden,Level Up Your Tricks,Room 3,Intermediate
Sunday,10/08/2025,15:00,15:50,Portu & Mada,Loops and Variations,Room 3,Intermediate